master_incident_number,problem,priority_number,year,time_phonepickup,cfs_address,cfs_location_name,call_disposition,short_school_name,cde_school_name,school_type_level,lowest_grade,highest_grade,school_address
DPD-18-0586843,Foot Pursuit,0,2018,8/28/2018 2:52,951 N Elati St,SCH West High School - Box 4105,K - Street Check Completed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0135557,Fight,2,2018,2/26/2018 14:23,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0168037,Fight,2,2018,3/12/2018 13:24,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0194664,Fight,2,2018,3/23/2018 12:11,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0197768,Criminal Mischief IP-JO,2,2018,3/24/2018 17:53,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0326093,Fight,2,2018,5/15/2018 9:41,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0328687,Fight,2,2018,5/16/2018 9:12,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0648722,Threats IP-JO,2,2018,9/21/2018 8:44,951 N Elati St,West High School,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0658928,Mental Health,2,2018,9/25/2018 11:22,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0678464,Fight,2,2018,10/3/2018 10:28,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,In Service,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0692691,Fight,2,2018,10/9/2018 12:13,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
